1,Desktop,10/22/2020 8:35,0:10:16
1,Hololens,10/22/2020 8:21,0:38:07
2,Desktop,10/23/2020 20:58,0:31:07
2,Hololens,10/23/2020 21:37,0:23:11
3,Desktop,10/24/2020 13:01,0:37:01
3,Hololens,10/24/2020 13:48,0:33:51
4,Desktop,10/24/2020 15:26,0:25:54
4,Hololens,10/24/2020 14:59,0:36:01
5,Desktop,10/30/2020 17:25,0:28:49
5,Hololens,10/30/2020 16:51,0:33:44
6,Desktop,11/2/2020 18:10,0:36:00
6,Hololens,11/2/2020 17:54,0:34:06
7,Desktop,4/19/2021 11:17,0:27:06
7,Hololens,4/19/2021 12:07,0:26:41
8,Desktop,4/21/2021 19:48,0:23:52
8,Hololens,4/21/2021 19:21,0:36:07
9,Desktop,4/22/2021 19:41,0:23:16
9,Hololens,4/22/2021 19:12,0:27:26
10,Desktop,6/3/2021 21:05,0:15:32
10,Hololens,6/3/2021 20:41,0:31:44
